Industry Name,Number of firms,ROE (unadjusted),ROE (adjusted for R&D),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Electronics (General),114,0.12615730756275645,0.10276282371857558,,,,,
Engineering/Construction,48,0.2613749950535173,0.2600929505032561,,,,,
Entertainment,92,0.06092763111377839,0.05576481328082752,,,,,
Environmental & Waste Services,53,0.1973829594869194,0.19146716095143113,,,,,
Farming/Agriculture,35,0.1204025921309046,0.10551355537211776,,,,,
Financial Svcs. (Non-bank & Insurance),176,0.28817318153849353,0.2681401573623423,,,,,
Food Processing,78,0.04604119204406767,0.044272933398223954,,,,,
Food Wholesalers,13,0.18220724511066666,0.1822072451106666,,,,,
Furn/Home Furnishings,27,0.03107415077303208,0.02488686573887101,,,,,
Green & Renewable Energy,15,-0.07357137161316149,-0.07346262768733423,,,,,
Healthcare Products,204,0.11260003642281874,0.09365975479046632,,,,,
Healthcare Support Services,104,0.09891791288541897,0.0986776739022394,,,,,
Heathcare Information and Technology,115,0.06397363703274217,0.054617858855076445,,,,,
Homebuilding,30,0.14231430358554786,0.14231430358554786,,,,,
Hospitals/Healthcare Facilities,31,0.5083628028154341,0.502484878541886,,,,,
Hotel/Gaming,63,0.4538326736020845,0.33769985151261583,,,,,
Household Products,110,0.2702119723935352,0.2379659166642549,,,,,
Information Services,15,0.149460900440439,0.1311828829345802,,,,,
Insurance (General),21,0.190716563362503,0.18902916598966216,,,,,
Insurance (Life),20,0.12873529635151773,0.12873529635151773,,,,,
Insurance (Prop/Cas.),57,0.18714725400678406,0.18714391808423578,,,,,
Investments & Asset Management,283,0.15880676782898712,0.15766498153859373,,,,,
Machinery,105,0.16423121638505028,0.1510713416940814,,,,,
Metals & Mining,73,0.17794348748808222,0.17616558592869058,,,,,
Office Equipment & Services,14,0.1322566194736466,0.10860732646156457,,,,,
Oil/Gas (Integrated),4,0.09957502140399105,0.09882608887541187,,,,,
Oil/Gas (Production and Exploration),142,0.12211066139642923,0.12067460404121799,,,,,
Oil/Gas Distribution,23,0.18032702415722426,0.18025068364203117,,,,,
Oilfield Svcs/Equip.,97,0.08646041260503463,0.08234577597744457,,,,,
Packaging & Container,19,0.12293731853965369,0.11803714141287515,,,,,
Paper/Forest Products,6,0.07013649983353679,0.07047877211619474,,,,,
Power,46,0.12399093984234143,0.12368415984583636,,,,,
Precious Metals,56,0.23523056888876692,0.23168889575835933,,,,,
Publishing & Newspapers,19,0.13834733920348685,0.13013798554759845,,,,,
R.E.I.T.,190,0.05037954337741777,0.05037475641286372,,,,,
Real Estate (Development),14,0.05060545910919269,0.0506054591091927,,,,,
Real Estate (General/Diversified),12,0.10767597507500577,0.10767597507500576,,,,,
Real Estate (Operations & Services),54,0.03303284726431277,0.031759467235196945,,,,,
Recreation,49,-0.1276115597172532,-0.10375816964795116,,,,,
Reinsurance,1,0.07791857643569695,0.07791857643569697,,,,,
Restaurant/Dining,64,0.0010275118300474612,0.0010275118300474612,,,,,
Retail (Automotive),34,0.34384064730254443,0.34321509179896936,,,,,
Retail (Building Supply),14,,,,,,,
Retail (Distributors),62,0.1833373242733274,0.1830391240500371,,,,,
Retail (General),23,0.26052308288353043,0.17178187695719507,,,,,
Retail (Grocery and Food),15,0.12897574047835317,0.10998501231982011,,,,,
Retail (REITs),26,0.06364375400351006,0.06363480624433729,,,,,
Retail (Special Lines),94,0.30115075589442497,0.29672325492241886,,,,,
Rubber& Tires,3,-0.3640800083778406,-0.2891822757653272,,,,,
Semiconductor,66,0.31364715776513896,0.22332083683594228,,,,,
Semiconductor Equip,31,0.3577797316274757,0.2408004720374814,,,,,
Shipbuilding & Marine,8,0.10153624613557122,0.10153624613557122,,,,,
Shoe,11,0.1948971193415638,0.1928318148811346,,,,,
Software (Entertainment),77,0.36508850605050824,0.2402763551255518,,,,,
Software (Internet),29,-0.01469962217495586,0.0002719147106055063,,,,,
Software (System & Application),309,0.2962489469128928,0.20207672077851566,,,,,
Steel,19,0.03679172566231069,0.036789277005301255,,,,,
Telecom (Wireless),12,0.16061396496184466,0.16037443514060104,,,,,
Telecom. Equipment,57,0.2495656053027011,0.16188707697527394,,,,,
Telecom. Services,39,0.19817526096196145,0.19467205018988779,,,,,
Tobacco,10,,,,,,,
Transportation,19,0.3658208748571981,0.31745806395527937,,,,,
Transportation (Railroads),4,0.29067477582274653,0.29067477582274653,,,,,
Trucking,26,0.07602721205023472,0.07521525624664492,,,,,
Utility (General),14,0.10415514586399638,0.10415514586399638,,,,,
Utility (Water),14,0.10281440787691666,0.10269736386056277,,,,,
